"Year","Name","Amount (t)"
1970,"Biomass",43008250.61
1970,"Excavated earthen materials (including soil) nec",0
1970,"Fossil fuels",2288000
1970,"Metal ores",106267.73
1970,"Mixed and complex products nec.",-7199.55
1970,"Non-metallic minerals",6660344.89
1970,"Products from biomass",-8243.02
1970,"Products from fossil fuels",-768955.16
1970,"Products from metals",-15099.92
1970,"Products from non-metallic minerals",-706216.25
1970,"Waste for final treatment and disposal",15619.94
1971,"Biomass",43372789.16
1971,"Excavated earthen materials (including soil) nec",0
1971,"Fossil fuels",2622000
1971,"Metal ores",8315.78
1971,"Mixed and complex products nec.",-866
1971,"Non-metallic minerals",7858161.7
1971,"Products from biomass",3799.24
1971,"Products from fossil fuels",-884000
1971,"Products from metals",0
1971,"Products from non-metallic minerals",0
1971,"Waste for final treatment and disposal",0
1972,"Biomass",44516124.06
1972,"Excavated earthen materials (including soil) nec",0
1972,"Fossil fuels",2538000
1972,"Metal ores",8203.96
1972,"Mixed and complex products nec.",-430
1972,"Non-metallic minerals",6676854.23
1972,"Products from biomass",-21425.06
1972,"Products from fossil fuels",-767000
1972,"Products from metals",0
1972,"Products from non-metallic minerals",0
1972,"Waste for final treatment and disposal",0
1973,"Biomass",46852497.69
1973,"Excavated earthen materials (including soil) nec",0
1973,"Fossil fuels",2786000
1973,"Metal ores",7978.56
1973,"Mixed and complex products nec.",-565
1973,"Non-metallic minerals",8637170.48
1973,"Products from biomass",-49380.81
1973,"Products from fossil fuels",-964000
1973,"Products from metals",0
1973,"Products from non-metallic minerals",0
1973,"Waste for final treatment and disposal",0
1974,"Biomass",48455407.19
1974,"Excavated earthen materials (including soil) nec",0
1974,"Fossil fuels",2874000
1974,"Metal ores",7980.99
1974,"Mixed and complex products nec.",-364
1974,"Non-metallic minerals",8273493.72
1974,"Products from biomass",-23829.18
1974,"Products from fossil fuels",-883000
1974,"Products from metals",0
1974,"Products from non-metallic minerals",0
1974,"Waste for final treatment and disposal",0
1975,"Biomass",49231542.22
1975,"Excavated earthen materials (including soil) nec",0
1975,"Fossil fuels",2870000
1975,"Metal ores",7982.82
1975,"Mixed and complex products nec.",-404
1975,"Non-metallic minerals",7739889.92
1975,"Products from biomass",-36616.01
1975,"Products from fossil fuels",-827000
1975,"Products from metals",0
1975,"Products from non-metallic minerals",0
1975,"Waste for final treatment and disposal",0
1976,"Biomass",51808865.91
1976,"Excavated earthen materials (including soil) nec",0
1976,"Fossil fuels",2552000
1976,"Metal ores",82780.18
1976,"Mixed and complex products nec.",5361.08
1976,"Non-metallic minerals",5150503.92
1976,"Products from biomass",-46230.04
1976,"Products from fossil fuels",-904238.85
1976,"Products from metals",40478.67
1976,"Products from non-metallic minerals",-710960.98
1976,"Waste for final treatment and disposal",5714.84
1977,"Biomass",52979780.88
1977,"Excavated earthen materials (including soil) nec",0
1977,"Fossil fuels",2735000
1977,"Metal ores",74688.65
1977,"Mixed and complex products nec.",7735.12
1977,"Non-metallic minerals",6932107.47
1977,"Products from biomass",-49136.65
1977,"Products from fossil fuels",-705185.94
1977,"Products from metals",63060.25
1977,"Products from non-metallic minerals",-747789.36
1977,"Waste for final treatment and disposal",3070.42
1978,"Biomass",55208601.77
1978,"Excavated earthen materials (including soil) nec",0
1978,"Fossil fuels",2743000
1978,"Metal ores",133563.61
1978,"Mixed and complex products nec.",11147.9
1978,"Non-metallic minerals",5942042.09
1978,"Products from biomass",-38203
1978,"Products from fossil fuels",-431816.21
1978,"Products from metals",111036.04
1978,"Products from non-metallic minerals",-731230.12
1978,"Waste for final treatment and disposal",2000.01
1979,"Biomass",58210138.81
1979,"Excavated earthen materials (including soil) nec",0
1979,"Fossil fuels",2488000
1979,"Metal ores",59115.07
